transformation,total,accuracy,precision,recall,f1,true_positive,false_positive,false_negative,true_negative
overall,3200.0,0.93625,0.9957386363636364,0.87625,0.9321808510638296,1402.0,6.0,198.0,1594.0
blur,400.0,0.935,1.0,0.87,0.9304812834224598,174.0,0.0,26.0,200.0
brightness,400.0,0.9925,0.9900497512437811,0.995,0.9925187032418954,199.0,2.0,1.0,198.0
compress,400.0,0.995,0.995,0.995,0.995,199.0,1.0,1.0,199.0
contrast,400.0,0.995,0.9900990099009901,1.0,0.9950248756218906,200.0,2.0,0.0,198.0
crop,400.0,0.96,1.0,0.92,0.9583333333333334,184.0,0.0,16.0,200.0
resize,400.0,0.9975,0.9950248756218906,1.0,0.9975062344139651,200.0,1.0,0.0,199.0
rotate,400.0,0.8525,1.0,0.705,0.8269794721407624,141.0,0.0,59.0,200.0
watermark,400.0,0.7625,1.0,0.525,0.6885245901639345,105.0,0.0,95.0,200.0
