image_id,file_path,title,status,check_id,registration_status,review_action,overall_score,metadata_id,embedding_status,image_url,duration_seconds,error
cma_98823,artworks_met/cma_0124_98823.jpg,Amitabha Triad,registered,51142333-e145-4947-9259-6e8177fb6f09,allowed,,0.5564592391252517,eae4b789-6a7a-4970-a0cf-27bbe85e208c,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752105/copyright-registrations/amitabha-triad-51142333-e145-4947-9259-6e8177fb6f09.jpg,11.84,
cma_147938,artworks_met/cma_0125_147938.jpg,"Interior of the Pantheon, Rome",registered,1ec6c77d-1b37-4864-8d54-bfb283451f12,allowed,,0.22854936718940733,f8f43beb-4ec0-42a3-9786-12e728322b9a,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752117/copyright-registrations/interior-of-the-pantheon-rome-1ec6c77d-1b37-4864-8d54-bfb283451f12.jpg,11.84,
cma_153603,artworks_met/cma_0126_153603.jpg,Portrait of Machtelt Suijs,registered,35c41da3-a599-4031-bec2-dc04b4663684,allowed,,0.39920660853385925,71a5aa3c-2327-447f-8601-bae000230b4d,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752129/copyright-registrations/portrait-of-machtelt-suijs-35c41da3-a599-4031-bec2-dc04b4663684.jpg,9.22,
cma_155860,artworks_met/cma_0127_155860.jpg,The Young Eastern Woman,registered,faa28078-e645-4915-89e3-1be1c0be8f2e,allowed,,0.39542685747146605,38554e25-5469-43d8-acbb-60e2f2f5d227,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752140/copyright-registrations/the-young-eastern-woman-faa28078-e645-4915-89e3-1be1c0be8f2e.jpg,11.04,
cma_160289,artworks_met/cma_0128_160289.jpg,Portrait of Lisa Colt Curtis,registered,420ad15c-f38c-479f-8dcd-a141f59e0114,allowed,,0.5910193443298339,995a5240-b639-484a-8761-5ff547205dc1,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752149/copyright-registrations/portrait-of-lisa-colt-curtis-420ad15c-f38c-479f-8dcd-a141f59e0114.jpg,11.83,
cma_135538,artworks_met/cma_0129_135538.jpg,"Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)",registered,bab44ef9-1fcc-4fa1-ad13-a801b2492d46,allowed,,0.844184523820877,723650bc-b5a5-4333-a54c-7e22610a7fdc,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752160/copyright-registrations/mourner-from-the-tomb-of-philip-the-bold-duke-of-burgundy-1364-1404-bab44ef9-1fcc-4fa1-ad13-a801b2492d46.jpg,11.64,
cma_142792,artworks_met/cma_0130_142792.jpg,Wrestlers in a Circus,registered,415d9185-bf6b-43cb-83a6-7ad1d09ab58e,allowed,,0.46096411347389216,9fb06229-11a2-4681-8f30-e254f1b176f0,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752172/copyright-registrations/wrestlers-in-a-circus-415d9185-bf6b-43cb-83a6-7ad1d09ab58e.jpg,9.03,
cma_283088,artworks_met/cma_0131_283088.jpg,Icon of the New Testament Trinity,registered,d9fa3f04-38d1-4eb3-a26b-a5eabd3cb257,allowed,,0.30355897545814514,04e3be43-ad65-4c35-ad07-52bf110d98c7,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752182/copyright-registrations/icon-of-the-new-testament-trinity-d9fa3f04-38d1-4eb3-a26b-a5eabd3cb257.jpg,12.23,
cma_145412,artworks_met/cma_0132_145412.jpg,Portrait of Hottō Enmyō Kokushi,registered,4ee53aa2-1260-44d1-bba8-b3267f7805cf,allowed,,0.6479886770248413,28fda05c-4f34-4120-b437-414143c0c9a5,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752471/copyright-registrations/portrait-of-hott-enmy-kokushi-4ee53aa2-1260-44d1-bba8-b3267f7805cf.jpg,4.99,
cma_103366,artworks_met/cma_0133_103366.jpg,Elizabeth Beltzhoover Mason,registered,6119faf6-0009-4f9f-8c32-befb5ef4f720,allowed,,0.6169195830821991,5685e43a-fe21-4d62-8fb5-0c599507021b,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752476/copyright-registrations/elizabeth-beltzhoover-mason-6119faf6-0009-4f9f-8c32-befb5ef4f720.jpg,9.02,
cma_119143,artworks_met/cma_0134_119143.jpg,Mourner from the Tomb of John the Fearless and Margaret of Bavaria,registered,c6ef8334-04bb-45bc-8886-e87d4b978273,allowed,,0.8026212930679321,cbcc4275-ffe7-4a19-b367-c70ad92f1926,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752485/copyright-registrations/mourner-from-the-tomb-of-john-the-fearless-and-margaret-of-bavaria-c6ef8334-04bb-45bc-8886-e87d4b978273.jpg,12.24,
cma_138885,artworks_met/cma_0135_138885.jpg,"Hours of Queen Isabella the Catholic, Queen of Spain",registered,97e8944e-96fc-4b73-9db0-5eb836c4d87b,allowed,,0.5106040328741074,f322f930-0d8c-4a84-8976-716198681168,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752497/copyright-registrations/hours-of-queen-isabella-the-catholic-queen-of-spain-97e8944e-96fc-4b73-9db0-5eb836c4d87b.jpg,11.94,
cma_140078,artworks_met/cma_0136_140078.jpg,"La Cervara, the Roman Campagna",registered,8d0de607-5379-492f-bad4-0a910d41d9c7,allowed,,0.5759284764528274,f020f835-5d20-419b-86fa-7c1f028d7ca8,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752513/copyright-registrations/la-cervara-the-roman-campagna-8d0de607-5379-492f-bad4-0a910d41d9c7.jpg,9.03,
cma_142560,artworks_met/cma_0137_142560.jpg,Standing Buddha,registered,bfe3c78f-446c-490d-af31-a6a8465d3945,allowed,,0.7797011435031891,2268a135-a95a-4143-9e73-5d427598b6f5,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752518/copyright-registrations/standing-buddha-bfe3c78f-446c-490d-af31-a6a8465d3945.jpg,12.04,
cma_129799,artworks_met/cma_0138_129799.jpg,Backrest of a Litter,registered,1513288d-70af-4640-aedd-9c7427a46e00,allowed,,0.6007546424865722,46245d6b-c645-4b85-a860-b5a65f5f0ddd,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752533/copyright-registrations/backrest-of-a-litter-1513288d-70af-4640-aedd-9c7427a46e00.jpg,9.63,
cma_148021,artworks_met/cma_0139_148021.jpg,Eleven-Headed Bodhisattva of Compassion (Avalokiteshvara),registered,a498976c-ca7f-4eed-8f89-af279b36fe82,allowed,,0.7613551795482635,0637ce99-5319-49b9-9a90-95a1b1490121,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752539/copyright-registrations/eleven-headed-bodhisattva-of-compassion-avalokiteshvara-a498976c-ca7f-4eed-8f89-af279b36fe82.jpg,11.83,
cma_119132,artworks_met/cma_0140_119132.jpg,"Mourner from the Tomb of Philip the Bold, Duke of Burgundy (1364–1404)",registered,3b33658f-62a6-4e16-92f2-1b57ff914571,allowed,,0.8900647699832915,5975dfab-e840-4f86-b605-b9b29a373693,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752551/copyright-registrations/mourner-from-the-tomb-of-philip-the-bold-duke-of-burgundy-1364-1404-3b33658f-62a6-4e16-92f2-1b57ff914571.jpg,11.83,
cma_98627,artworks_met/cma_0141_98627.jpg,The Age of Bronze,registered,0b02330b-e451-4efc-9f84-10a355fe477e,allowed,,0.43795582652091974,657f910e-c4cb-4388-ae91-934cc4ac2992,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752563/copyright-registrations/the-age-of-bronze-0b02330b-e451-4efc-9f84-10a355fe477e.jpg,9.03,
cma_145450,artworks_met/cma_0142_145450.jpg,Interior of a Church,registered,346c1491-e347-4f54-b1c6-5b00fb8b895c,allowed,,0.5878605425357818,8374074f-03ec-4821-bc5c-9addfade94d2,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752574/copyright-registrations/interior-of-a-church-346c1491-e347-4f54-b1c6-5b00fb8b895c.jpg,11.03,
cma_149146,artworks_met/cma_0143_149146.jpg,Raft Cup,registered,14072887-1072-4c2d-afca-db2cba022e7e,allowed,,0.6104359149932861,4a5fcd21-4052-49e0-828d-c4f7066a75c3,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752584/copyright-registrations/raft-cup-14072887-1072-4c2d-afca-db2cba022e7e.jpg,9.23,
cma_127239,artworks_met/cma_0144_127239.jpg,Seated Male Carrying Maize,registered,d191029d-76c9-4955-9827-246b066c2297,allowed,,0.606208974123001,1381faec-25a5-44d4-aa68-39d775b1809c,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752595/copyright-registrations/seated-male-carrying-maize-d191029d-76c9-4955-9827-246b066c2297.jpg,11.24,
cma_146148,artworks_met/cma_0145_146148.jpg,Basket of Plums,registered,e9827000-b6d1-47bb-8e02-ce28725a1f6d,allowed,,0.5791223049163818,cf61336b-c487-4c69-a886-78ada1f84854,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752604/copyright-registrations/basket-of-plums-e9827000-b6d1-47bb-8e02-ce28725a1f6d.jpg,9.42,
cma_113202,artworks_met/cma_0146_113202.jpg,The Holy Family with Saint John the Baptist and Saint Margaret,registered,91b3228d-b2ce-4172-8cd0-eed7811206ba,allowed,,0.34329423904418943,bce8afab-d6f2-4787-9eec-48c3743f2fa0,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752614/copyright-registrations/the-holy-family-with-saint-john-the-baptist-and-saint-margaret-91b3228d-b2ce-4172-8cd0-eed7811206ba.jpg,9.83,
cma_143165,artworks_met/cma_0147_143165.jpg,Icon of the Virgin and Child,registered,8d4f27be-7233-4e96-9935-429150155215,allowed,,0.5798297345638275,73b0aa92-7910-43a1-b594-37cea2deaafb,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752625/copyright-registrations/icon-of-the-virgin-and-child-8d4f27be-7233-4e96-9935-429150155215.jpg,10.84,
cma_124739,artworks_met/cma_0148_124739.jpg,Mantle,registered,4f000606-5194-4527-926d-86536d06ecb1,allowed,,0.28290992975234985,bc9ef1be-6590-4b32-8bc0-fd18c1117b61,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752638/copyright-registrations/mantle-4f000606-5194-4527-926d-86536d06ecb1.jpg,9.42,
cma_172815,artworks_met/cma_0149_172815.jpg,"Mount Starr King, Yosemite",registered,e6895231-4078-42fb-8712-086f4aac7b6c,allowed,,0.7031605660915374,22a56114-c57e-4fe6-a818-66650ca6ae90,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752647/copyright-registrations/mount-starr-king-yosemite-e6895231-4078-42fb-8712-086f4aac7b6c.jpg,12.24,
cma_145407,artworks_met/cma_0150_145407.jpg,Ganesha,registered,d3bc78db-7b15-4af1-9a8f-5beb8e710f42,allowed,,0.7034551620483398,0f3d5724-a251-448a-af6f-8bc6233ade21,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752656/copyright-registrations/ganesha-d3bc78db-7b15-4af1-9a8f-5beb8e710f42.jpg,9.03,
cma_137198,artworks_met/cma_0151_137198.jpg,Jar with Lion-Head Handles,registered,9181ae0b-dccd-42a7-8f90-fe19664fb3f4,allowed,,0.5918798863887786,3d1b5bb5-6a96-4873-9381-7dd0daced428,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752665/copyright-registrations/jar-with-lion-head-handles-9181ae0b-dccd-42a7-8f90-fe19664fb3f4.jpg,12.23,
cma_145463,artworks_met/cma_0152_145463.jpg,Danaë,registered,2f509c8e-4d09-4d5b-ba77-8c3558ed6533,allowed,,0.7500171780586242,8a29540b-8aed-485a-97e9-c8626279a7a5,ready,https://res.cloudinary.com/daz3btopf/image/upload/v1783752677/copyright-registrations/dana-2f509c8e-4d09-4d5b-ba77-8c3558ed6533.jpg,9.23,
